id,0
listing_url,0
scrape_id,0
last_scraped,0
name,20
summary,3574
space,23895
description,1679
experiences_offered,0
neighborhood_overview,28519
notes,48487
transit,28779
access,35184
interaction,32996
house_rules,33021
thumbnail_url,79454
medium_url,79454
picture_url,0
xl_picture_url,79454
host_id,0
host_url,0
host_name,47
host_since,47
host_location,243
host_about,33530
host_response_time,23740
host_response_rate,23740
host_acceptance_rate,79454
host_is_superhost,47
host_thumbnail_url,47
host_picture_url,47
host_neighbourhood,18384
host_listings_count,47
host_total_listings_count,47
host_verifications,0
host_has_profile_pic,47
host_identity_verified,47
street,0
neighbourhood,1
neighbourhood_cleansed,0
neighbourhood_group_cleansed,79454
city,128
state,16005
zipcode,1855
market,810
smart_location,0
country_code,0
country,0
latitude,0
longitude,0
is_location_exact,0
property_type,0
room_type,0
accommodates,0
bathrooms,135
bedrooms,32
beds,125
bed_type,0
amenities,0
square_feet,79024
price,0
weekly_price,72154
monthly_price,74266
security_deposit,27842
cleaning_fee,20287
guests_included,0
extra_people,0
minimum_nights,0
maximum_nights,0
minimum_minimum_nights,0
maximum_minimum_nights,0
minimum_maximum_nights,0
maximum_maximum_nights,0
minimum_nights_avg_ntm,0
maximum_nights_avg_ntm,0
calendar_updated,0
has_availability,0
availability_30,0
availability_60,0
availability_90,0
availability_365,0
calendar_last_scraped,0
number_of_reviews,0
number_of_reviews_ltm,0
first_review,19216
last_review,19216
review_scores_rating,20797
review_scores_accuracy,20845
review_scores_cleanliness,20834
review_scores_checkin,20897
review_scores_communication,20841
review_scores_location,20896
review_scores_value,20897
requires_license,0
license,79271
jurisdiction_names,79452
instant_bookable,0
is_business_travel_ready,0
cancellation_policy,0
require_guest_profile_picture,0
require_guest_phone_verification,0
calculated_host_listings_count,0
calculated_host_listings_count_entire_homes,0
calculated_host_listings_count_private_rooms,0
calculated_host_listings_count_shared_rooms,0
reviews_per_month,19216
price_group,0
